ID,Geslacht,Leeftijd,Cijfersoort,Perioden,Ondergewicht,NormaalGewicht,Overgewicht
90,T001038,80018,1,1981JJ00,5.3,84.6,10.1
91,T001038,80018,1,1982JJ00,6.5,85.2,8.4
92,T001038,80018,1,1983JJ00,6.3,85,8.7
93,T001038,80018,1,1984JJ00,6.1,86,7.9
94,T001038,80018,1,1985JJ00,7,84.5,8.6
95,T001038,80018,1,1986JJ00,7.7,85.1,7.2
96,T001038,80018,1,1987JJ00,7.5,84.3,8.2
97,T001038,80018,1,1988JJ00,7.4,85,7.6
98,T001038,80018,1,1989JJ00,7.3,83.5,9.2
99,T001038,80018,1,1990JJ00,7.3,81.7,11
100,T001038,80018,1,1991JJ00,7.1,81.8,11.1
101,T001038,80018,1,1992JJ00,7.5,81.1,11.4
102,T001038,80018,1,1993JJ00,6.9,81.8,11.3
103,T001038,80018,1,1994JJ00,6.1,82.9,11
104,T001038,80018,1,1995JJ00,6.9,84,9.1
105,T001038,80018,1,1996JJ00,8.9,80.1,11
106,T001038,80018,1,1997JJ00,7.1,81.1,11.8
107,T001038,80018,1,1998JJ00,6.6,82.2,11.2
108,T001038,80018,1,1999JJ00,6.8,81.7,11.4
109,T001038,80018,1,2000JJ00,6.8,81.8,11.4
110,T001038,80018,1,2001JJ00,6.1,82.1,11.8
111,T001038,80018,1,2002JJ00,6.9,81.2,11.8
112,T001038,80018,1,2003JJ00,5.4,84.2,10.4
113,T001038,80018,1,2004JJ00,5.6,81.8,12.5
114,T001038,80018,1,2005JJ00,5.5,81.7,12.9
115,T001038,80018,1,2006JJ00,6.1,82.7,11.2
116,T001038,80018,1,2007JJ00,5.3,83.3,11.4
117,T001038,80018,1,2008JJ00,4.7,81.9,13.4
118,T001038,80018,1,2009JJ00,5.9,80.9,13.1
119,T001038,80018,1,2010JJ00,5,81.5,13.6
120,T001038,80018,1,2011JJ00,5.5,81.7,12.8
121,T001038,80018,1,2012JJ00,4.9,81.9,13.2
122,T001038,80018,1,2013JJ00,5.9,82.3,11.8
123,T001038,80018,1,2014JJ00,4.6,82.9,12.5
124,T001038,80018,1,2015JJ00,5.2,82.7,12.1
125,T001038,80018,1,2016JJ00,5.7,80.9,13.4
126,T001038,80018,1,1981X001,6,85.2,8.8
127,T001038,80018,1,1985X001,7.4,84.7,7.9
128,T001038,80018,1,1989X001,7.3,82,10.7
129,T001038,80018,1,1993X001,7.2,82.2,10.6
130,T001038,80018,1,1997X001,6.8,81.7,11.4
131,T001038,80018,1,2001X001,6,82.3,11.6
132,T001038,80018,1,2005X001,5.4,82.4,12.2
133,T001038,80018,1,2009X001,5.3,81.5,13.2
134,T001038,80018,1,2013X001,5.4,82.2,12.5
135,T001038,80018,2,1981JJ00,0.5,0.7,0.6
136,T001038,80018,2,1982JJ00,0.5,0.8,0.6
137,T001038,80018,2,1983JJ00,0.5,0.8,0.6
138,T001038,80018,2,1984JJ00,0.5,0.7,0.6
139,T001038,80018,2,1985JJ00,0.6,0.8,0.6
140,T001038,80018,2,1986JJ00,0.6,0.8,0.6
141,T001038,80018,2,1987JJ00,0.6,0.9,0.7
142,T001038,80018,2,1988JJ00,0.7,0.9,0.7
143,T001038,80018,2,1989JJ00,0.6,0.9,0.7
144,T001038,80018,2,1990JJ00,0.7,1,0.8
145,T001038,80018,2,1991JJ00,0.7,1.1,0.9
146,T001038,80018,2,1992JJ00,0.6,1,0.8
147,T001038,80018,2,1993JJ00,0.6,1,0.8
148,T001038,80018,2,1994JJ00,0.6,0.9,0.8
149,T001038,80018,2,1995JJ00,0.6,0.9,0.7
150,T001038,80018,2,1996JJ00,0.7,1,0.8
151,T001038,80018,2,1997JJ00,0.6,0.9,0.7
152,T001038,80018,2,1998JJ00,0.6,0.9,0.8
153,T001038,80018,2,1999JJ00,0.6,0.9,0.7
154,T001038,80018,2,2000JJ00,0.6,0.9,0.7
155,T001038,80018,2,2001JJ00,0.6,0.9,0.8
156,T001038,80018,2,2002JJ00,0.6,0.9,0.8
157,T001038,80018,2,2003JJ00,0.5,0.9,0.7
158,T001038,80018,2,2004JJ00,0.5,0.9,0.7
159,T001038,80018,2,2005JJ00,0.5,0.9,0.8
160,T001038,80018,2,2006JJ00,0.6,0.9,0.8
161,T001038,80018,2,2007JJ00,0.6,0.9,0.8
162,T001038,80018,2,2008JJ00,0.5,0.9,0.8
163,T001038,80018,2,2009JJ00,0.6,1,0.8
164,T001038,80018,2,2010JJ00,0.4,0.7,0.7
165,T001038,80018,2,2011JJ00,0.5,0.8,0.7
166,T001038,80018,2,2012JJ00,0.4,0.8,0.7
167,T001038,80018,2,2013JJ00,0.5,0.8,0.7
168,T001038,80018,2,2014JJ00,0.5,0.9,0.8
169,T001038,80018,2,2015JJ00,0.5,0.9,0.8
170,T001038,80018,2,2016JJ00,0.6,1,0.8
171,T001038,80018,2,1981X001,0.3,0.4,0.3
172,T001038,80018,2,1985X001,0.3,0.4,0.3
173,T001038,80018,2,1989X001,0.3,0.5,0.4
174,T001038,80018,2,1993X001,0.3,0.5,0.4
175,T001038,80018,2,1997X001,0.3,0.4,0.4
176,T001038,80018,2,2001X001,0.3,0.4,0.4
177,T001038,80018,2,2005X001,0.3,0.5,0.4
178,T001038,80018,2,2009X001,0.2,0.4,0.4
179,T001038,80018,2,2013X001,0.3,0.4,0.4
450,T001038,20400,1,1981JJ00,2.7,63.9,33.4
451,T001038,20400,1,1982JJ00,2.8,64.3,32.9
452,T001038,20400,1,1983JJ00,2.9,63.7,33.4
453,T001038,20400,1,1984JJ00,3.2,63.2,33.6
454,T001038,20400,1,1985JJ00,3.1,63.9,33.1
455,T001038,20400,1,1986JJ00,3.1,62.6,34.3
456,T001038,20400,1,1987JJ00,2.3,62.7,35
457,T001038,20400,1,1988JJ00,2.5,63.5,34
458,T001038,20400,1,1989JJ00,2.2,62.2,35.5
459,T001038,20400,1,1990JJ00,2.6,62.3,35
460,T001038,20400,1,1991JJ00,2.3,62.5,35.2
461,T001038,20400,1,1992JJ00,2.5,60.9,36.6
462,T001038,20400,1,1993JJ00,2.7,60.8,36.5
463,T001038,20400,1,1994JJ00,2.3,59.3,38.4
464,T001038,20400,1,1995JJ00,2.3,59.7,38
465,T001038,20400,1,1996JJ00,2.6,58.4,39
466,T001038,20400,1,1997JJ00,2,57.4,40.6
467,T001038,20400,1,1998JJ00,1.9,57.5,40.6
468,T001038,20400,1,1999JJ00,1.9,55.7,42.4
469,T001038,20400,1,2000JJ00,1.6,54.1,44.3
470,T001038,20400,1,2001JJ00,1.7,53.3,44.9
471,T001038,20400,1,2002JJ00,1.8,53.2,45.1
472,T001038,20400,1,2003JJ00,1.8,51.8,46.3
473,T001038,20400,1,2004JJ00,1.7,51.4,46.8
474,T001038,20400,1,2005JJ00,1.7,53.1,45.2
475,T001038,20400,1,2006JJ00,1.6,51.7,46.7
476,T001038,20400,1,2007JJ00,1.8,52.5,45.7
477,T001038,20400,1,2008JJ00,1.9,51,47.1
478,T001038,20400,1,2009JJ00,1.6,51,47.4
479,T001038,20400,1,2010JJ00,1.6,50.1,48.2
480,T001038,20400,1,2011JJ00,1.5,50.3,48.2
481,T001038,20400,1,2012JJ00,1.7,50.4,47.9
482,T001038,20400,1,2013JJ00,1.7,50.1,48.2
483,T001038,20400,1,2014JJ00,1.4,48.3,50.3
484,T001038,20400,1,2015JJ00,1.6,48.1,50.3
485,T001038,20400,1,2016JJ00,1.6,48.1,50.2
486,T001038,20400,1,1981X001,2.9,63.8,33.3
487,T001038,20400,1,1985X001,2.7,63.2,34.1
488,T001038,20400,1,1989X001,2.4,62,35.6
489,T001038,20400,1,1993X001,2.4,59.6,38
490,T001038,20400,1,1997X001,1.8,56.2,42
491,T001038,20400,1,2001X001,1.8,52.4,45.8
492,T001038,20400,1,2005X001,1.8,52.1,46.2
493,T001038,20400,1,2009X001,1.6,50.5,47.9
494,T001038,20400,1,2013X001,1.6,48.6,49.8
495,T001038,20400,2,1981JJ00,0.2,0.6,0.6
496,T001038,20400,2,1982JJ00,0.2,0.6,0.6
497,T001038,20400,2,1983JJ00,0.2,0.6,0.6
498,T001038,20400,2,1984JJ00,0.2,0.6,0.6
499,T001038,20400,2,1985JJ00,0.2,0.6,0.6
500,T001038,20400,2,1986JJ00,0.2,0.6,0.6
501,T001038,20400,2,1987JJ00,0.2,0.6,0.6
502,T001038,20400,2,1988JJ00,0.2,0.6,0.6
503,T001038,20400,2,1989JJ00,0.2,0.6,0.6
504,T001038,20400,2,1990JJ00,0.2,0.6,0.6
505,T001038,20400,2,1991JJ00,0.2,0.7,0.7
506,T001038,20400,2,1992JJ00,0.2,0.6,0.6
507,T001038,20400,2,1993JJ00,0.2,0.6,0.6
508,T001038,20400,2,1994JJ00,0.2,0.6,0.6
509,T001038,20400,2,1995JJ00,0.2,0.6,0.6
510,T001038,20400,2,1996JJ00,0.2,0.6,0.6
511,T001038,20400,2,1997JJ00,0.2,0.5,0.5
512,T001038,20400,2,1998JJ00,0.2,0.6,0.6
513,T001038,20400,2,1999JJ00,0.2,0.6,0.6
514,T001038,20400,2,2000JJ00,0.1,0.6,0.6
515,T001038,20400,2,2001JJ00,0.2,0.6,0.6
516,T001038,20400,2,2002JJ00,0.2,0.6,0.6
517,T001038,20400,2,2003JJ00,0.2,0.6,0.6
518,T001038,20400,2,2004JJ00,0.1,0.6,0.6
519,T001038,20400,2,2005JJ00,0.1,0.6,0.6
520,T001038,20400,2,2006JJ00,0.1,0.6,0.6
521,T001038,20400,2,2007JJ00,0.2,0.6,0.6
522,T001038,20400,2,2008JJ00,0.2,0.6,0.6
523,T001038,20400,2,2009JJ00,0.2,0.6,0.6
524,T001038,20400,2,2010JJ00,0.1,0.5,0.5
525,T001038,20400,2,2011JJ00,0.1,0.5,0.5
526,T001038,20400,2,2012JJ00,0.1,0.5,0.5
527,T001038,20400,2,2013JJ00,0.1,0.5,0.5
528,T001038,20400,2,2014JJ00,0.1,0.6,0.6
529,T001038,20400,2,2015JJ00,0.1,0.6,0.6
530,T001038,20400,2,2016JJ00,0.2,0.6,0.6
531,T001038,20400,2,1981X001,0.1,0.3,0.3
532,T001038,20400,2,1985X001,0.1,0.3,0.3
533,T001038,20400,2,1989X001,0.1,0.3,0.3
534,T001038,20400,2,1993X001,0.1,0.3,0.3
535,T001038,20400,2,1997X001,0.1,0.3,0.3
536,T001038,20400,2,2001X001,0.1,0.3,0.3
537,T001038,20400,2,2005X001,0.1,0.3,0.3
538,T001038,20400,2,2009X001,0.1,0.3,0.3
539,T001038,20400,2,2013X001,0.1,0.3,0.3
